#!bxdecay0 1.0.0
#@run_info_start
#@seed=314159
#@activity=2 Bq
#@nevents=20000
#@category=1
#@nuclide=Xe136
#@daughter_level=2
#@mode_bb=7
#@min_energy=2 MeV
#@max_energy=4.3 MeV
#@toallevents=1
#@run_info_stop
#
# Format of an event (time in second,  momentum in MeV/c):
#
#   #@event_start
#   event-time nuclide
#   number-of-particles
#   code1 time1 px1 py1 pz1 name
#   ...
#   codeN timeN pxN pyN pzN name
#   #@event_stop
#

#@event_start
0.422902085895868 Xe136
3
3  0 -0.143054484876133 0.238595070647835 0.0724739306073458 electron
3  0 -0.901825134822653 0.619847146074304 -0.586668715685603 electron
1  5.05619699583515e-13 -0.816506031825701 -0.0811322448278006 -1.31618253249367 gamma
#@event_stop

#@event_start
0.903703099290873 Xe136
3
3  0 -0.0765276548674881 -0.842056334715431 -0.638545334570473 electron
3  0 0.257420730162771 -0.478320375372185 0.101580304689611 electron
1  3.87519613664448e-14 1.29021559735075 -0.551413158901258 -0.660975219311112 gamma
#@event_stop

#@event_start
1.16786680322481 Xe136
4
3  0 -0.52688762240148 0.161836561036764 0.312929953822289 electron
3  0 -0.675774205628043 -0.0157876243450066 0.724456493729085 electron
1  1.56499574640325e-13 -0.256863470772009 0.523259799491949 -0.444420228633444 gamma
1  5.66057208681943e-12 0.64718157686808 -0.177900501444034 0.46932762346628 gamma
#@event_stop

#@event_start
1.27486177987571 Xe136
4
3  0 -0.205925952440607 0.141493414080476 -0.208976990079124 electron
3  0 0.315488795938992 1.0513488349191 0.533270331440237 electron
1  9.47272965060084e-13 0.0328306124709651 0.678223343151709 -0.276087391397907 gamma
1  3.96079122275683e-12 0.129047142578995 0.788699824705697 -0.179054241785555 gamma
#@event_stop

#@event_start
0.407366496228704 Xe136
4
3  0 -1.12539690359877 -0.236276636151784 0.21859136000552 electron
3  0 0.266734391061634 0.302166523458431 -0.0355699497313829 electron
1  1.38324191082221e-14 0.484307301633109 -0.361596508131783 0.41470881699303 gamma
1  2.4262639307665e-12 -0.627971350318788 -0.408462125176658 0.331016125702309 gamma
#@event_stop

#@event_start
0.23770470614468 Xe136
4
3  0 0.292025097631224 0.0584062658453897 0.138579907955949 electron
3  0 -0.192726031176487 1.00066948638895 -0.66846509417135 electron
1  9.5763235229764e-13 -0.317952068525929 0.0441140461312333 0.658976048922884 gamma
1  1.62105336955051e-12 0.433985700463889 -0.341041256277569 -0.605068817003062 gamma
#@event_stop

#@event_start
0.55778487066626 Xe136
3
3  0 -0.0591108864007215 0.393911206652108 -0.5331112940461 electron
3  0 -0.0396067739799632 -0.905452395108443 0.324771166624417 electron
1  5.94713671276468e-13 0.704613463448532 0.917187123386581 -1.0333869787359 gamma
#@event_stop

#@event_start
0.941145902950457 Xe136
3
3  0 0.0852321660297885 0.852224309645839 0.780707372915438 electron
3  0 -0.118030733117308 0.308377689013345 -0.262060784174722 electron
1  5.84242275957548e-13 -1.36646627096656 0.709972776980375 -0.185228470429153 gamma
#@event_stop

#@event_start
0.239376219237296 Xe136
4
3  0 -0.0780655281241353 -0.316701343812914 -0.491414834102916 electron
3  0 0.934876876577334 -0.254859822024457 -0.345313061288979 electron
1  5.07988252420617e-13 0.507107984174668 -0.507649480476704 -0.14974143500727 gamma
1  1.95885005682208e-12 0.119122911670881 -0.594277863853527 0.550821706588203 gamma
#@event_stop

#@event_start
0.776049111020183 Xe136
3
3  0 -0.308186359682194 0.968089087174896 -0.34982943995385 electron
3  0 -0.346335611312735 -0.37528576980876 -0.156440986649341 electron
1  2.34940042183769e-13 0.235386745998645 -1.47341380325523 0.423374354661603 gamma
#@event_stop

#@event_start
0.0305008595178118 Xe136
3
3  0 -0.607175673757465 -0.11235568623869 -0.116645657798317 electron
3  0 0.428097982293948 0.81329590136305 -0.382674462478522 electron
1  9.08466713456612e-13 1.4563718633016 0.295909060875903 -0.443869151299075 gamma
#@event_stop

#@event_start
0.495651300842645 Xe136
3
3  0 -0.549438599318604 -1.12296385142683 -0.0754498943751442 electron
3  0 0.146782616905342 0.110960123561563 0.192782767104592 electron
1  1.81681483985708e-12 1.36192244815777 0.440470472995696 0.597288881214855 gamma
#@event_stop

#@event_start
0.721097760557579 Xe136
3
3  0 -0.519623006617796 0.146756691652964 0.295935007658303 electron
3  0 0.473247557735908 -0.132045063504689 -0.878506947909038 electron
1  8.28936133078166e-13 0.489015845973461 1.15742206019806 0.909306701258563 gamma
#@event_stop

#@event_start
0.46157964120209 Xe136
4
3  0 0.28900765441251 0.177342071578132 -0.0269425479559891 electron
3  0 -0.150719128175623 -1.04866137106355 -0.588274355727391 electron
1  7.15710775888873e-13 -0.398061377517519 0.39733089618933 -0.470068397855291 gamma
1  1.8108848447468e-12 -0.139940088588237 0.191212681632756 -0.78397415900572 gamma
#@event_stop

#@event_start
0.097614473377136 Xe136
4
3  0 -0.432743604718909 -0.490854628019857 -0.319226261008572 electron
3  0 0.723178243249858 -0.311632787902678 -0.446442149833877 electron
1  2.43529467791559e-13 0.0634324450821187 -0.344178815559052 -0.644054553459 gamma
1  9.56645601768156e-13 0.510003978009964 0.27124927647211 0.580586576168764 gamma
#@event_stop

#@event_start
0.234638196558417 Xe136
3
3  0 -0.319521280296408 -0.26839012306844 -0.250809325545747 electron
3  0 0.422878008356761 0.751304081218933 0.701293096668194 electron
1  1.34283269171486e-12 0.0143297318894529 0.0316830827925557 -1.55061015121427 gamma
#@event_stop

#@event_start
0.232333697874009 Xe136
3
3  0 -0.25690342877482 -0.460479556696881 0.329977848379332 electron
3  0 -0.588350471979716 0.645269230384773 -0.489584984832491 electron
1  1.11516749499638e-12 -1.24164287362364 0.633883365912717 -0.679791036127127 gamma
#@event_stop

#@event_start
0.644403974653856 Xe136
4
3  0 0.242332094384061 -0.228320109570318 0.165190600664829 electron
3  0 -0.768625461775951 0.90407506400216 0.115229957350133 electron
1  9.56939975189192e-13 -0.34262374050975 0.446307806065457 -0.469794970901292 gamma
1  4.70974163378852e-12 0.14837902637306 0.372938331510568 -0.713905921969202 gamma
#@event_stop

#@event_start
0.413450125920285 Xe136
3
3  0 -0.0367858791135136 0.387050908765209 0.207993109269907 electron
